" H-3 HOUSEHOLDS BY TENURE STATUS, SIZE AND NUMBER OF ROOMS OCCUPIED",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Number of households occupying
,,,,,,,,,,
,House-hold size,Total number of households,No excl-usive room, 1 Room,2  Rooms,3  Rooms,4  Rooms,5  Rooms,6 Rooms         and above,Un-specified Room
,1,2,3,4,5,6,7,8,9,10
INDIA,,,,,,,,,,
TOTAL,,,,,,,,,,
Total ,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"1,22,51,565","2,995","42,14,700","39,99,515","18,59,215","9,62,725","5,16,235","6,90,225","5,955"
,2-Jan,"11,06,225",275,"6,57,735","3,04,930","81,390","30,095","12,915","15,935","2,950"
,5-Mar,"44,93,320","1,035","20,12,260","15,82,525","5,32,100","1,98,135","84,440","80,640","2,185"
,8-Jun,"41,59,720",955,"12,05,920","15,02,480","7,44,325","3,58,390","1,71,565","1,75,560",525
 ,      9+      ,"24,92,300",730,"3,38,785","6,09,580","5,01,400","3,76,105","2,47,315","4,18,090",295
Owned ,,,,,,,,,,
,Total,"1,20,72,240","2,970","41,46,750","39,41,210","18,33,855","9,53,440","5,12,290","6,75,905","5,820"
,2-Jan,"10,58,595",260,"6,32,910","2,91,620","76,365","28,280","12,210","14,075","2,875"
,5-Mar,"44,24,485","1,035","19,86,300","15,59,355","5,21,945","1,94,780","83,005","75,915","2,150"
,8-Jun,"41,13,165",945,"11,92,360","14,85,405","7,36,775","3,55,705","1,70,495","1,70,970",510
 ,      9+      ,"24,75,995",730,"3,35,180","6,04,830","4,98,770","3,74,675","2,46,580","4,14,945",285
Rented ,,,,,,,,,,
,Total,"1,23,600",20,"45,445","44,990","19,220","6,800","2,930","4,110",85
,2-Jan,"34,840",10,"18,295","10,105","3,765","1,375",570,675,45
,5-Mar,"48,160",0,"16,880","18,040","8,100","2,470","1,160","1,485",25
,8-Jun,"31,240",10,"8,365","13,190","5,625","2,060",780,"1,200",10
 ,      9+      ,"9,360",0,"1,905","3,655","1,730",895,420,750,5
Others ,,,,,,,,,,
,Total,"55,725",5,"22,505","13,315","6,140","2,485","1,015","10,210",50
,2-Jan,"12,790",5,"6,530","3,205","1,260",440,135,"1,185",30
,5-Mar,"20,675",0,"9,080","5,130","2,055",885,275,"3,240",10
,8-Jun,"15,315",0,"5,195","3,885","1,925",625,290,"3,390",5
 ANDHRA PRADESH                                              ,      9+      ,"6,945",0,"1,700","1,095",900,535,315,"2,395",5
URBAN,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"18,57,145",480,"5,29,815","6,59,155","3,03,755","1,70,545","79,300","1,12,435","1,660"
,2-Jan,"2,16,790",60,"1,11,600","70,460","19,060","8,150","2,985","4,225",250
,5-Mar,"6,37,790",185,"2,22,050","2,45,305","94,355","41,050","16,105","17,390","1,350"
,8-Jun,"6,14,345",110,"1,47,125","2,38,120","1,12,855","60,065","25,690","30,340",40
 ,      9+      ,"3,88,220",125,"49,040","1,05,270","77,485","61,280","34,520","60,480",20
Owned ,,,,,,,,,,
,Total,"13,31,640",230,"3,57,935","4,35,365","2,22,185","1,43,725","70,255","1,01,800",145
,2-Jan,"1,22,005",15,"60,610","39,880","11,200","5,135","2,225","2,915",25
,5-Mar,"4,23,210",75,"1,52,855","1,52,480","60,615","30,645","12,570","13,900",70
,8-Jun,"4,52,865",55,"1,05,565","1,61,290","84,365","51,390","22,785","27,385",30
 ,      9+      ,"3,33,560",85,"38,905","81,715","66,005","56,555","32,675","57,600",20
Rented ,,,,,,,,,,
,Total,"4,67,445",245,"1,50,345","2,02,505","73,775","23,585","7,980","7,500","1,510"
,2-Jan,"82,735",40,"44,980","26,675","6,860","2,540",615,805,220
,5-Mar,"1,93,055",110,"61,095","84,940","30,885","9,240","3,130","2,375","1,280"
,8-Jun,"1,43,545",55,"35,780","69,740","25,675","7,585","2,570","2,130",10
 ,      9+      ,"48,110",40,"8,490","21,150","10,355","4,220","1,665","2,190",0
Others ,,,,,,,,,,
,Total,"58,060",5,"21,535","21,285","7,795","3,235","1,065","3,135",5
,2-Jan,"12,050",5,"6,010","3,905","1,000",475,145,505,5
,5-Mar,"21,525",0,"8,100","7,885","2,855","1,165",405,"1,115",0
,8-Jun,"17,935",0,"5,780","7,090","2,815","1,090",335,825,0
,      9+      ,"6,550",0,"1,645","2,405","1,125",505,180,690,0
 GOA,,,,,,,,,,
TOTAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"2,24,704",445,"59,314","58,308","41,423","29,309","15,503","17,670","2,732"
,2-Jan,"36,500",102,"14,388","9,246","5,262","3,367","1,669","1,730",736
,5-Mar,"1,06,084",238,"28,454","28,745","20,319","13,470","6,733","6,878","1,247"
,8-Jun,"64,130",88,"13,999","16,799","12,433","9,293","5,012","5,902",604
 ,      9+      ,"17,990",17,"2,473","3,518","3,409","3,179","2,089","3,160",145
Owned ,,,,,,,,,,
,Total,"1,71,328",228,"34,981","43,043","33,786","26,344","14,555","16,783","1,608"
,2-Jan,"23,787",43,"7,344","6,145","3,895","2,905","1,521","1,577",357
,5-Mar,"76,929",115,"15,982","19,998","15,767","11,703","6,200","6,473",691
,8-Jun,"54,390",59,"9,822","13,853","10,978","8,715","4,819","5,694",450
 ,      9+      ,"16,222",11,"1,833","3,047","3,146","3,021","2,015","3,039",110
Rented ,,,,,,,,,,
,Total,"45,343",154,"19,831","13,780","6,843","2,573",742,615,805
,2-Jan,"10,706",39,"5,847","2,770","1,199",372,103,97,279
,5-Mar,"25,290",87,"10,254","8,043","4,181","1,596",437,290,402
,8-Jun,"7,982",24,"3,243","2,583","1,246",479,150,156,101
 ,      9+      ,"1,365",4,487,384,217,126,52,72,23
Others ,,,,,,,,,,
,Total,"8,033",63,"4,502","1,485",794,392,206,272,319
,2-Jan,"2,007",20,"1,197",331,168,90,45,56,100
,5-Mar,"3,865",36,"2,218",704,371,171,96,115,154
,8-Jun,"1,758",5,934,363,209,99,43,52,53
 ANDHRA PRADESH                                              ,      9+      ,403,2,153,87,46,32,22,49,12
RURAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"1,31,923",270,"34,575","34,858","23,157","17,122","9,547","10,422","1,972"
,2-Jan,"21,059",63,"8,177","5,281","2,879","1,977","1,077","1,067",538
,5-Mar,"59,170",147,"16,226","16,387","10,247","7,267","4,008","4,017",871
,8-Jun,"40,131",51,"8,656","10,838","7,738","5,807","3,090","3,493",458
 ,      9+      ,"11,563",9,"1,516","2,352","2,293","2,071","1,372","1,845",105
Owned ,,,,,,,,,,
,Total,"1,12,995",157,"25,065","29,912","20,944","16,265","9,208","10,059","1,385"
,2-Jan,"15,848",30,"5,222","4,114","2,381","1,810","1,004",984,303
,5-Mar,"49,271",81,"11,386","13,657","9,036","6,807","3,837","3,860",607
,8-Jun,"36,864",39,"7,154","9,929","7,292","5,622","3,022","3,420",386
 ,      9+      ,"11,012",7,"1,303","2,212","2,235","2,026","1,345","1,795",89
Rented ,,,,,,,,,,
,Total,"14,142",55,"6,864","4,041","1,752",628,214,203,385
,2-Jan,"3,924",14,"2,222",951,379,113,39,43,163
,5-Mar,"7,634",33,"3,534","2,311","1,016",359,113,93,175
,8-Jun,"2,252",8,976,683,323,128,47,46,41
 ,      9+      ,332,0,132,96,34,28,15,21,6
Others ,,,,,,,,,,
,Total,"4,786",58,"2,646",905,461,229,125,160,202
,2-Jan,"1,287",19,733,216,119,54,34,40,72
,5-Mar,"2,265",33,"1,306",419,195,101,58,64,89
,8-Jun,"1,015",4,526,226,123,57,21,27,31
 ANDHRA PRADESH                                              ,      9+      ,219,2,81,44,24,17,12,29,10
URBAN,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"92,781",175,"24,739","23,450","18,266","12,187","5,956","7,248",760
,2-Jan,"15,441",39,"6,211","3,965","2,383","1,390",592,663,198
,5-Mar,"46,914",91,"12,228","12,358","10,072","6,203","2,725","2,861",376
,8-Jun,"23,999",37,"5,343","5,961","4,695","3,486","1,922","2,409",146
 ,      9+      ,"6,427",8,957,"1,166","1,116","1,108",717,"1,315",40
Owned ,,,,,,,,,,
,Total,"58,333",71,"9,916","13,131","12,842","10,079","5,347","6,724",223
,2-Jan,"7,939",13,"2,122","2,031","1,514","1,095",517,593,54
,5-Mar,"27,658",34,"4,596","6,341","6,731","4,896","2,363","2,613",84
,8-Jun,"17,526",20,"2,668","3,924","3,686","3,093","1,797","2,274",64
 ,      9+      ,"5,210",4,530,835,911,995,670,"1,244",21
Rented ,,,,,,,,,,
,Total,"31,201",99,"12,967","9,739","5,091","1,945",528,412,420
,2-Jan,"6,782",25,"3,625","1,819",820,259,64,54,116
,5-Mar,"17,656",54,"6,720","5,732","3,165","1,237",324,197,227
,8-Jun,"5,730",16,"2,267","1,900",923,351,103,110,60
 ,      9+      ,"1,033",4,355,288,183,98,37,51,17
Others ,,,,,,,,,,
,Total,"3,247",5,"1,856",580,333,163,81,112,117
,2-Jan,720,1,464,115,49,36,11,16,28
,5-Mar,"1,600",3,912,285,176,70,38,51,65
,8-Jun,743,1,408,137,86,42,22,25,22
,      9+      ,184,0,72,43,22,15,10,20,2
 GUJARAT,,,,,,,,,,
TOTAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"74,66,620",915,"36,60,820","23,76,625","8,54,810","3,48,980","90,825","1,07,540","26,105"
,2-Jan,"8,72,180",145,"4,98,520","2,45,245","77,530","28,725","7,915","8,865","5,235"
,5-Mar,"33,76,660",360,"17,19,655","10,47,795","3,78,180","1,47,145","35,385","35,300","12,840"
,8-Jun,"23,55,755",295,"11,16,395","7,89,955","2,75,890","1,06,715","27,980","32,475","6,050"
 ,      9+      ,"8,62,025",115,"3,26,250","2,93,630","1,23,210","66,395","19,545","30,900","1,980"
Owned ,,,,,,,,,,
,Total,"62,21,655",595,"30,04,300","19,90,060","7,24,400","3,04,965","80,480","97,295","19,560"
,2-Jan,"6,51,705",70,"3,63,240","1,88,890","59,225","22,840","6,600","7,235","3,605"
,5-Mar,"27,10,185",215,"13,74,220","8,41,145","3,04,055","1,21,330","29,510","30,710","9,000"
,8-Jun,"20,62,695",220,"9,68,870","6,90,445","2,45,335","97,180","25,680","29,760","5,205"
 ,      9+      ,"7,97,070",90,"2,97,970","2,69,580","1,15,785","63,615","18,690","29,590","1,750"
Rented ,,,,,,,,,,
,Total,"10,93,260",250,"5,71,795","3,46,785","1,13,925","38,990","8,955","6,735","5,825"
,2-Jan,"1,88,345",60,"1,15,950","48,830","15,130","4,970","1,050",965,"1,390"
,5-Mar,"5,89,840",120,"3,02,950","1,86,500","65,470","23,035","5,110","3,110","3,545"
,8-Jun,"2,57,180",50,"1,28,160","89,295","26,740","8,485","2,060","1,690",700
 ,      9+      ,"57,895",20,"24,735","22,160","6,585","2,500",735,970,190
Others ,,,,,,,,,,
,Total,"1,51,705",70,"84,725","39,780","16,485","5,025","1,390","3,510",720
,2-Jan,"32,130",15,"19,330","7,525","3,175",915,265,665,240
,5-Mar,"76,635",25,"42,485","20,150","8,655","2,780",765,"1,480",295
,8-Jun,"35,880",25,"19,365","10,215","3,815","1,050",240,"1,025",145
 ANDHRA PRADESH                                              ,      9+      ,"7,060",5,"3,545","1,890",840,280,120,340,40
RURAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"47,92,660",465,"26,34,245","15,09,055","4,40,340","1,24,900","30,755","34,815","18,085"
,2-Jan,"5,41,805",50,"3,30,735","1,51,150","40,240","10,205","2,640","3,485","3,300"
,5-Mar,"20,75,795",165,"12,10,820","6,29,080","1,67,485","39,395","9,790","10,535","8,525"
,8-Jun,"15,74,815",170,"8,32,030","5,20,370","1,54,585","42,330","10,075","10,505","4,750"
 ,      9+      ,"6,00,245",80,"2,60,660","2,08,455","78,030","32,970","8,250","10,290","1,510"
Owned ,,,,,,,,,,
,Total,"44,44,470",370,"24,37,310","14,09,090","4,06,945","1,15,580","28,305","30,695","16,175"
,2-Jan,"4,70,270",35,"2,85,980","1,33,515","34,255","8,735","2,245","2,705","2,800"
,5-Mar,"18,84,320",125,"11,03,840","5,73,355","1,48,330","33,920","8,410","8,695","7,645"
,8-Jun,"15,02,425",145,"7,92,790","4,98,155","1,47,760","40,340","9,540","9,370","4,325"
 ,      9+      ,"5,87,455",65,"2,54,700","2,04,065","76,600","32,585","8,110","9,925","1,405"
Rented ,,,,,,,,,,
,Total,"2,80,490",70,"1,55,325","84,665","27,480","7,530","1,800","2,240","1,380"
,2-Jan,"55,125",5,"34,425","14,040","4,595","1,110",265,340,345
,5-Mar,"1,56,875",40,"85,365","47,970","16,285","4,440","1,015","1,110",650
,8-Jun,"58,595",15,"31,155","18,975","5,500","1,655",405,580,310
 ,      9+      ,"9,895",10,"4,380","3,680","1,100",325,115,210,75
Others ,,,,,,,,,,
,Total,"67,700",25,"41,610","15,300","5,915","1,790",650,"1,880",530
,2-Jan,"16,410",10,"10,330","3,595","1,390",360,130,440,155
,5-Mar,"34,600",0,"21,615","7,755","2,870","1,035",365,730,230
,8-Jun,"13,795",10,"8,085","3,240","1,325",335,130,555,115
 ANDHRA PRADESH                                              ,      9+      ,"2,895",5,"1,580",710,330,60,25,155,30
URBAN,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"26,73,960",450,"10,26,575","8,67,570","4,14,470","2,24,080","60,070","72,725","8,020"
,2-Jan,"3,30,375",95,"1,67,785","94,095","37,290","18,520","5,275","5,380","1,935"
,5-Mar,"13,00,865",195,"5,08,835","4,18,715","2,10,695","1,07,750","25,595","24,765","4,315"
,8-Jun,"7,80,940",125,"2,84,365","2,69,585","1,21,305","64,385","17,905","21,970","1,300"
 ,      9+      ,"2,61,780",35,"65,590","85,175","45,180","33,425","11,295","20,610",470
Owned ,,,,,,,,,,
,Total,"17,77,185",225,"5,66,990","5,80,970","3,17,455","1,89,385","52,175","66,600","3,385"
,2-Jan,"1,81,435",35,"77,260","55,375","24,970","14,105","4,355","4,530",805
,5-Mar,"8,25,865",90,"2,70,380","2,67,790","1,55,725","87,410","21,100","22,015","1,355"
,8-Jun,"5,60,270",75,"1,76,080","1,92,290","97,575","56,840","16,140","20,390",880
 ,      9+      ,"2,09,615",25,"43,270","65,515","39,185","31,030","10,580","19,665",345
Rented ,,,,,,,,,,
,Total,"8,12,770",180,"4,16,470","2,62,120","86,445","31,460","7,155","4,495","4,445"
,2-Jan,"1,33,220",55,"81,525","34,790","10,535","3,860",785,625,"1,045"
,5-Mar,"4,32,965",80,"2,17,585","1,38,530","49,185","18,595","4,095","2,000","2,895"
,8-Jun,"1,98,585",35,"97,005","70,320","21,240","6,830","1,655","1,110",390
 ,      9+      ,"48,000",10,"20,355","18,480","5,485","2,175",620,760,115
Others ,,,,,,,,,,
,Total,"84,005",45,"43,115","24,480","10,570","3,235",740,"1,630",190
,2-Jan,"15,720",5,"9,000","3,930","1,785",555,135,225,85
,5-Mar,"42,035",25,"20,870","12,395","5,785","1,745",400,750,65
,8-Jun,"22,085",15,"11,280","6,975","2,490",715,110,470,30
,      9+      ,"4,165",0,"1,965","1,180",510,220,95,185,10
 HARYANA ,,,,,,,,,,
TOTAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"26,45,635",315,"6,66,530","8,07,960","4,88,995","3,04,630","1,58,180","2,01,390","17,635"
,2-Jan,"2,20,600",20,"1,18,030","56,825","20,805","10,375","4,295","5,355","4,895"
,5-Mar,"10,20,725",130,"3,22,250","3,43,400","1,75,490","89,495","40,260","39,395","10,305"
,8-Jun,"9,24,755",110,"1,87,540","3,04,705","1,92,710","1,15,920","57,925","64,235","1,610"
 ,      9+      ,"4,79,555",55,"38,710","1,03,030","99,990","88,840","55,700","92,405",825
Owned ,,,,,,,,,,
,Total,"23,87,485",215,"5,30,400","7,34,890","4,63,580","2,95,265","1,54,620","1,93,310","15,205"
,2-Jan,"1,59,025",15,"72,615","46,495","18,170","9,435","3,910","4,390","3,995"
,5-Mar,"8,88,015",85,"2,55,835","3,02,570","1,61,045","84,615","38,500","36,265","9,100"
,8-Jun,"8,72,340",60,"1,66,040","2,86,280","1,86,220","1,13,440","57,080","61,850","1,370"
 ,      9+      ,"4,68,105",55,"35,910","99,545","98,145","87,775","55,130","90,805",740
Rented ,,,,,,,,,,
,Total,"2,16,540",75,"1,14,215","64,550","21,995","7,810","2,925","2,835","2,135"
,2-Jan,"51,230",0,"38,480","8,615","2,040",670,245,375,805
,5-Mar,"1,14,940",35,"56,845","37,125","12,905","4,165","1,550","1,230","1,085"
,8-Jun,"42,115",40,"16,960","15,940","5,570","2,095",695,640,175
 ,      9+      ,"8,255",0,"1,930","2,870","1,480",880,435,590,70
Others ,,,,,,,,,,
,Total,"41,610",25,"21,915","8,520","3,420","1,555",635,"5,245",295
,2-Jan,"10,345",5,"6,935","1,715",595,270,140,590,95
,5-Mar,"17,770",10,"9,570","3,705","1,540",715,210,"1,900",120
,8-Jun,"10,300",10,"4,540","2,485",920,385,150,"1,745",65
 ANDHRA PRADESH                                              ,      9+      ,"3,195",0,870,615,365,185,135,"1,010",15
RURAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"19,16,620",215,"4,33,885","5,76,900","3,60,155","2,31,680","1,28,320","1,71,030","14,435"
,2-Jan,"1,29,605",15,"61,270","36,355","13,825","7,235","3,125","3,965","3,815"
,5-Mar,"6,90,675",70,"2,04,650","2,30,370","1,19,545","63,990","31,060","32,215","8,775"
,8-Jun,"7,04,105",80,"1,36,395","2,27,220","1,46,430","89,850","47,955","54,985","1,190"
 ,      9+      ,"3,92,235",50,"31,570","82,955","80,355","70,605","46,180","79,865",655
Owned ,,,,,,,,,,
,Total,"18,45,340",165,"3,96,715","5,58,960","3,53,625","2,28,765","1,27,090","1,65,900","14,120"
,2-Jan,"1,10,890",10,"48,340","32,845","12,800","6,805","2,965","3,400","3,725"
,5-Mar,"6,58,615",50,"1,88,125","2,21,810","1,16,410","62,630","30,565","30,360","8,665"
,8-Jun,"6,88,335",55,"1,29,765","2,22,505","1,44,785","89,085","47,645","53,390","1,105"
 ,      9+      ,"3,87,500",50,"30,485","81,800","79,630","70,245","45,915","78,750",625
Rented ,,,,,,,,,,
,Total,"43,825",30,"22,590","12,750","4,685","1,885",750,"1,000",135
,2-Jan,"12,050",0,"8,540","2,340",690,230,50,180,20
,5-Mar,"20,805",10,"10,120","6,530","2,440",915,360,380,50
,8-Jun,"8,740",20,"3,475","3,170","1,115",510,195,205,50
 ,      9+      ,"2,230",0,455,710,440,230,145,235,15
Others ,,,,,,,,,,
,Total,"27,455",20,"14,580","5,190","1,845","1,030",480,"4,130",180
,2-Jan,"6,665",5,"4,390","1,170",335,200,110,385,70
,5-Mar,"11,255",10,"6,405","2,030",695,445,135,"1,475",60
,8-Jun,"7,030",5,"3,155","1,545",530,255,115,"1,390",35
 ANDHRA PRADESH                                              ,      9+      ,"2,505",0,630,445,285,130,120,880,15
URBAN,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"7,29,015",100,"2,32,645","2,31,060","1,28,840","72,950","29,860","30,360","3,200"
,2-Jan,"90,995",5,"56,760","20,470","6,980","3,140","1,170","1,390","1,080"
,5-Mar,"3,30,050",60,"1,17,600","1,13,030","55,945","25,505","9,200","7,180","1,530"
,8-Jun,"2,20,650",30,"51,145","77,485","46,280","26,070","9,970","9,250",420
 ,      9+      ,"87,320",5,"7,140","20,075","19,635","18,235","9,520","12,540",170
Owned ,,,,,,,,,,
,Total,"5,42,145",50,"1,33,685","1,75,930","1,09,955","66,500","27,530","27,410","1,085"
,2-Jan,"48,135",5,"24,275","13,650","5,370","2,630",945,990,270
,5-Mar,"2,29,400",35,"67,710","80,760","44,635","21,985","7,935","5,905",435
,8-Jun,"1,84,005",5,"36,275","63,775","41,435","24,355","9,435","8,460",265
 ,      9+      ,"80,605",5,"5,425","17,745","18,515","17,530","9,215","12,055",115
Rented ,,,,,,,,,,
,Total,"1,72,715",45,"91,625","51,800","17,310","5,925","2,175","1,835","2,000"
,2-Jan,"39,180",0,"29,940","6,275","1,350",440,195,195,785
,5-Mar,"94,135",25,"46,725","30,595","10,465","3,250","1,190",850,"1,035"
,8-Jun,"33,375",20,"13,485","12,770","4,455","1,585",500,435,125
 ,      9+      ,"6,025",0,"1,475","2,160","1,040",650,290,355,55
Others ,,,,,,,,,,
,Total,"14,155",5,"7,335","3,330","1,575",525,155,"1,115",115
,2-Jan,"3,680",0,"2,545",545,260,70,30,205,25
,5-Mar,"6,515",0,"3,165","1,675",845,270,75,425,60
,8-Jun,"3,270",5,"1,385",940,390,130,35,355,30
,      9+      ,690,0,240,170,80,55,15,130,0
 HIMACHAL PRADESH,,,,,,,,,,
TOTAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"9,86,608","1,248","2,63,916","3,28,233","1,33,435","1,26,644","41,036","90,139","1,957"
,2-Jan,"1,75,619",229,"85,048","56,503","14,261","11,090","2,771","5,007",710
,5-Mar,"4,08,682",525,"1,11,651","1,47,087","55,455","51,498","14,869","26,901",696
,8-Jun,"2,86,849",386,"55,717","96,291","44,840","43,541","14,617","31,096",361
 ,      9+      ,"1,15,458",108,"11,500","28,352","18,879","20,515","8,779","27,135",190
Owned ,,,,,,,,,,
,Total,"8,37,211","1,150","1,87,705","2,77,439","1,20,129","1,21,612","39,641","87,976","1,559"
,2-Jan,"1,02,770",182,"39,149","35,912","10,455","9,674","2,389","4,416",593
,5-Mar,"3,48,669",496,"87,304","1,23,332","48,044","48,831","14,142","25,995",525
,8-Jun,"2,72,936",368,"50,620","90,687","43,103","42,796","14,405","30,673",284
 ,      9+      ,"1,12,836",104,"10,632","27,508","18,527","20,311","8,705","26,892",157
Rented ,,,,,,,,,,
,Total,"1,31,659",76,"66,384","46,078","11,986","4,294","1,172","1,366",303
,2-Jan,"64,714",38,"41,107","18,472","3,229","1,121",277,372,98
,5-Mar,"53,340",21,"20,689","21,993","6,916","2,362",645,588,126
,8-Jun,"11,621",14,"3,969","4,920","1,570",646,187,256,59
 ,      9+      ,"1,984",3,619,693,271,165,63,150,20
Others ,,,,,,,,,,
,Total,"17,738",22,"9,827","4,716","1,320",738,223,797,95
,2-Jan,"8,135",9,"4,792","2,119",577,295,105,219,19
,5-Mar,"6,673",8,"3,658","1,762",495,305,82,318,45
,8-Jun,"2,292",4,"1,128",684,167,99,25,167,18
 ANDHRA PRADESH                                              ,      9+      ,638,1,249,151,81,39,11,93,13
RURAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"8,76,834","1,219","2,25,283","2,92,099","1,18,256","1,17,104","37,310","83,767","1,796"
,2-Jan,"1,40,216",217,"64,700","46,241","11,635","9,963","2,391","4,442",627
,5-Mar,"3,58,780",517,"97,359","1,28,346","47,127","46,823","13,183","24,785",640
,8-Jun,"2,68,121",382,"52,201","90,218","41,474","40,867","13,517","29,115",347
 ,      9+      ,"1,09,717",103,"11,023","27,294","18,020","19,451","8,219","25,425",182
Owned ,,,,,,,,,,
,Total,"7,95,319","1,139","1,80,771","2,65,887","1,12,497","1,14,518","36,637","82,343","1,527"
,2-Jan,"96,287",179,"37,050","33,802","9,494","9,007","2,138","4,038",579
,5-Mar,"3,29,827",493,"84,049","1,17,662","44,312","45,681","12,884","24,232",514
,8-Jun,"2,61,057",368,"49,251","87,576","40,847","40,488","13,429","28,819",279
 ,      9+      ,"1,08,148",99,"10,421","26,847","17,844","19,342","8,186","25,254",155
Rented ,,,,,,,,,,
,Total,"67,923",61,"37,105","22,623","4,689","2,005",492,763,185
,2-Jan,"37,796",31,"24,213","10,757","1,658",712,164,227,34
,5-Mar,"23,870",16,"10,457","9,427","2,434",918,233,299,86
,8-Jun,"5,220",11,"2,047","2,116",493,290,70,143,50
 ,      9+      ,"1,037",3,388,323,104,85,25,94,15
Others ,,,,,,,,,,
,Total,"13,592",19,"7,407","3,589","1,070",581,181,661,84
,2-Jan,"6,133",7,"3,437","1,682",483,244,89,177,14
,5-Mar,"5,083",8,"2,853","1,257",381,224,66,254,40
,8-Jun,"1,844",3,903,526,134,89,18,153,18
 ANDHRA PRADESH                                              ,      9+      ,532,1,214,124,72,24,8,77,12
URBAN,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"1,09,774",29,"38,633","36,134","15,179","9,540","3,726","6,372",161
,2-Jan,"35,403",12,"20,348","10,262","2,626","1,127",380,565,83
,5-Mar,"49,902",8,"14,292","18,741","8,328","4,675","1,686","2,116",56
,8-Jun,"18,728",4,"3,516","6,073","3,366","2,674","1,100","1,981",14
 ,      9+      ,"5,741",5,477,"1,058",859,"1,064",560,"1,710",8
Owned ,,,,,,,,,,
,Total,"41,892",11,"6,934","11,552","7,632","7,094","3,004","5,633",32
,2-Jan,"6,483",3,"2,099","2,110",961,667,251,378,14
,5-Mar,"18,842",3,"3,255","5,670","3,732","3,150","1,258","1,763",11
,8-Jun,"11,879",0,"1,369","3,111","2,256","2,308",976,"1,854",5
 ,      9+      ,"4,688",5,211,661,683,969,519,"1,638",2
Rented ,,,,,,,,,,
,Total,"63,736",15,"29,279","23,455","7,297","2,289",680,603,118
,2-Jan,"26,918",7,"16,894","7,715","1,571",409,113,145,64
,5-Mar,"29,470",5,"10,232","12,566","4,482","1,444",412,289,40
,8-Jun,"6,401",3,"1,922","2,804","1,077",356,117,113,9
 ,      9+      ,947,0,231,370,167,80,38,56,5
Others ,,,,,,,,,,
,Total,"4,146",3,"2,420","1,127",250,157,42,136,11
,2-Jan,"2,002",2,"1,355",437,94,51,16,42,5
,5-Mar,"1,590",0,805,505,114,81,16,64,5
,8-Jun,448,1,225,158,33,10,7,14,0
,      9+      ,106,0,35,27,9,15,3,16,1
 KARNATAKA, ,,,,,,,,,
TOTAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"80,18,450",305,"28,62,120","27,90,230","11,01,120","5,16,565","2,00,885","2,17,455","3,29,770"
,2-Jan,"8,88,555",20,"4,33,770","2,79,585","77,270","30,875","10,630","11,590","44,815"
,5-Mar,"36,77,605",160,"13,86,795","12,93,415","4,69,450","2,05,985","79,160","76,690","1,65,950"
,8-Jun,"24,86,915",75,"8,12,560","8,93,305","3,75,380","1,75,335","66,925","70,860","92,475"
 ,      9+      ,"9,65,375",50,"2,28,995","3,23,925","1,79,020","1,04,370","44,170","58,315","26,530"
Owned ,,,,,,,,,,
,Total,"64,01,310",230,"22,50,550","22,32,830","8,71,645","4,14,880","1,64,095","1,88,745","2,78,335"
,2-Jan,"6,07,305",10,"2,93,350","1,95,740","50,200","19,655","6,980","8,080","33,290"
,5-Mar,"27,90,095",120,"10,61,090","9,82,825","3,40,065","1,48,790","58,040","61,300","1,37,865"
,8-Jun,"21,23,525",65,"6,91,280","7,61,275","3,17,545","1,49,575","57,495","63,660","82,630"
 ,      9+      ,"8,80,385",35,"2,04,830","2,92,990","1,63,835","96,860","41,580","55,705","24,550"
Rented ,,,,,,,,,,
,Total,"14,29,360",60,"5,25,970","5,03,765","2,07,905","91,930","33,480","23,770","42,480"
,2-Jan,"2,44,095",10,"1,21,265","74,460","23,780","9,545","3,060","2,530","9,445"
,5-Mar,"7,90,035",35,"2,81,480","2,82,535","1,18,045","52,210","19,460","12,920","23,350"
,8-Jun,"3,20,545",5,"1,02,970","1,19,020","52,420","23,270","8,625","6,130","8,105"
 ,      9+      ,"74,685",10,"20,255","27,750","13,660","6,905","2,335","2,190","1,580"
Others ,,,,,,,,,,
,Total,"1,87,780",15,"85,600","53,635","21,570","9,755","3,310","4,940","8,955"
,2-Jan,"37,155",0,"19,155","9,385","3,290","1,675",590,980,"2,080"
,5-Mar,"97,475",5,"44,225","28,055","11,340","4,985","1,660","2,470","4,735"
,8-Jun,"42,845",5,"18,310","13,010","5,415","2,490",805,"1,070","1,740"
