" H-3 HOUSEHOLDS BY TENURE STATUS, SIZE AND NUMBER OF ROOMS OCCUPIED",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Number of households occupying
,,,,,,,,,,
,House-hold size,Total number of households,No excl-usive room, 1 Room,2  Rooms,3  Rooms,4  Rooms,5  Rooms,6 Rooms         and above,Un-specified Room
,1,2,3,4,5,6,7,8,9,10
INDIA,,,,,,,,,,
TOTAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"3,94,93,450","16,578","1,56,20,078","1,19,92,915","58,52,191","30,70,829","12,38,853","15,13,094","1,88,912"
,2-Jan,"51,16,283","2,653","29,98,278","12,99,630","4,47,753","1,86,777","64,936","81,360","34,896"
,5-Mar,"1,88,00,686","7,471","79,36,738","58,79,883","27,22,918","12,52,504","4,57,207","4,43,821","1,00,144"
,8-Jun,"1,11,60,127","4,411","37,94,670","36,27,034","18,42,928","9,99,103","3,95,603","4,56,625","39,753"
 ,      9+      ,"44,16,354","2,043","8,90,392","11,86,368","8,38,592","6,32,445","3,21,107","5,31,288","14,119"
Owned ,,,,,,,,,,
,Total,"2,49,14,993","6,780","83,24,638","75,63,036","41,28,379","24,46,546","10,48,119","13,13,289","84,206"
,2-Jan,"25,09,296","1,135","13,00,598","6,95,041","2,66,561","1,26,974","47,544","57,759","13,684"
,5-Mar,"1,09,51,571","3,091","41,21,786","34,38,339","17,37,249","9,08,426","3,53,066","3,52,923","36,691"
,8-Jun,"78,45,805","1,687","23,14,800","25,10,292","14,05,918","8,37,098","3,47,692","4,03,968","24,350"
 ,      9+      ,"36,08,321",867,"5,87,454","9,19,364","7,18,651","5,74,048","2,99,817","4,98,639","9,481"
Rented ,,,,,,,,,,
,Total,"1,34,73,435","7,392","66,92,771","41,64,377","16,10,087","5,79,244","1,75,722","1,47,878","95,964"
,2-Jan,"23,79,849","1,275","15,46,866","5,61,768","1,65,885","53,856","15,461","15,626","19,112"
,5-Mar,"73,08,459","3,312","35,19,414","23,11,698","9,27,153","3,22,034","96,443","68,932","59,473"
,8-Jun,"30,46,742","1,986","13,49,611","10,42,901","4,06,144","1,49,717","44,227","38,702","13,454"
 ,      9+      ,"7,38,385",819,"2,76,880","2,48,010","1,10,905","53,637","19,591","24,618","3,925"
Others ,,,,,,,,,,
,Total,"11,05,022","2,406","6,02,669","2,65,502","1,13,725","45,039","15,012","51,927","8,742"
,2-Jan,"2,27,138",243,"1,50,814","42,821","15,307","5,947","1,931","7,975","2,100"
,5-Mar,"5,40,656","1,068","2,95,538","1,29,846","58,516","22,044","7,698","21,966","3,980"
,8-Jun,"2,67,580",738,"1,30,259","73,841","30,866","12,288","3,684","13,955","1,949"
,      9+      ,"69,648",357,"26,058","18,994","9,036","4,760","1,699","8,031",713
 ANDHRA PRADESH,,,,,,,,,,
TOTAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"1,37,08,670","1,335","68,38,570","42,44,765","13,89,790","6,59,445","1,98,815","2,52,745","1,23,205"
,2-Jan,"20,03,520",350,"12,64,400","5,17,625","1,21,885","46,700","12,255","16,925","23,380"
,5-Mar,"73,33,345",770,"37,78,725","22,88,060","7,09,850","3,06,845","87,285","96,460","65,350"
,8-Jun,"35,42,150",165,"15,37,590","11,81,790","4,26,260","2,18,170","65,745","84,095","28,335"
 ,      9+      ,"8,29,655",50,"2,57,855","2,57,290","1,31,795","87,730","33,530","55,265","6,140"
Owned ,,,,,,,,,,
,Total,"1,15,36,350","1,130","58,84,650","35,61,890","10,57,990","5,30,900","1,65,350","2,27,260","1,07,180"
,2-Jan,"16,47,570",280,"10,57,305","4,23,915","88,115","35,045","9,270","13,925","19,715"
,5-Mar,"60,21,670",685,"32,09,690","18,71,395","5,02,795","2,30,170","67,710","83,060","56,165"
,8-Jun,"31,11,240",125,"13,79,305","10,34,515","3,50,235","1,86,030","57,485","77,770","25,775"
 ,      9+      ,"7,55,870",40,"2,38,350","2,32,065","1,16,845","79,655","30,885","52,505","5,525"
Rented ,,,,,,,,,,
,Total,"19,83,480",110,"8,40,820","6,40,885","3,15,965","1,21,595","31,310","21,020","11,775"
,2-Jan,"3,14,390",30,"1,78,840","85,915","31,555","10,830","2,725","1,935","2,560"
,5-Mar,"12,06,590",35,"5,05,950","3,93,215","1,97,985","72,890","18,355","11,195","6,965"
,8-Jun,"3,95,060",35,"1,39,270","1,38,255","72,255","30,190","7,740","5,440","1,875"
 ,      9+      ,"67,440",10,"16,760","23,500","14,170","7,685","2,490","2,450",375
Others ,,,,,,,,,,
,Total,"1,88,840",95,"1,13,100","41,990","15,835","6,950","2,155","4,465","4,250"
,2-Jan,"41,560",40,"28,255","7,795","2,215",825,260,"1,065","1,105"
,5-Mar,"1,05,085",50,"63,085","23,450","9,070","3,785","1,220","2,205","2,220"
,8-Jun,"35,850",5,"19,015","9,020","3,770","1,950",520,885,685
 ANDHRA PRADESH                                              ,      9+      ,"6,345",0,"2,745","1,725",780,390,155,310,240
 Rural,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"1,03,40,765","1,135","54,92,710","32,09,500","8,64,435","3,99,610","1,10,405","1,58,640","1,04,330"
,2-Jan,"16,01,495",320,"10,36,960","4,11,040","81,990","31,225","7,635","12,460","19,865"
,5-Mar,"55,00,390",645,"30,08,730","17,21,350","4,25,260","1,80,370","46,565","62,140","55,330"
,8-Jun,"26,47,775",130,"12,36,200","8,87,745","2,72,820","1,35,505","37,775","53,375","24,225"
 ,      9+      ,"5,91,105",40,"2,10,820","1,89,365","84,365","52,510","18,430","30,665","4,910"
Owned ,,,,,,,,,,
,Total,"96,02,190","1,020","51,27,460","29,79,710","7,78,940","3,66,410","1,02,930","1,49,540","96,180"
,2-Jan,"14,48,985",265,"9,45,785","3,71,310","69,860","26,785","6,595","10,775","17,610"
,5-Mar,"50,54,765",600,"27,92,610","15,79,885","3,71,765","1,59,900","42,070","57,140","50,795"
,8-Jun,"25,23,710",120,"11,83,920","8,44,965","2,55,510","1,28,435","36,220","51,490","23,050"
 ,      9+      ,"5,74,730",35,"2,05,145","1,83,550","81,805","51,290","18,045","30,135","4,725"
Rented ,,,,,,,,,,
,Total,"6,13,240",25,"2,84,320","2,02,845","77,700","30,140","6,760","6,210","5,240"
,2-Jan,"1,21,335",15,"69,330","34,090","10,745","3,925",895,945,"1,390"
,5-Mar,"3,75,250",0,"1,70,775","1,26,065","49,060","18,740","4,140","3,555","2,915"
,8-Jun,"1,03,195",5,"40,060","37,600","15,660","6,380","1,385","1,305",800
 ,      9+      ,"13,460",5,"4,155","5,090","2,235","1,095",340,405,135
Others ,,,,,,,,,,
,Total,"1,25,335",90,"80,930","26,945","7,795","3,060",715,"2,890","2,910"
,2-Jan,"31,175",40,"21,845","5,640","1,385",515,145,740,865
,5-Mar,"70,375",45,"45,345","15,400","4,435","1,730",355,"1,445","1,620"
,8-Jun,"20,870",5,"12,220","5,180","1,650",690,170,580,375
 ANDHRA PRADESH                                              ,      9+      ,"2,915",0,"1,520",725,325,125,45,125,50
 Urban,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"33,67,905",200,"13,45,860","10,35,265","5,25,355","2,59,835","88,410","94,105","18,875"
,2-Jan,"4,02,025",30,"2,27,440","1,06,585","39,895","15,475","4,620","4,465","3,515"
,5-Mar,"18,32,955",125,"7,69,995","5,66,710","2,84,590","1,26,475","40,720","34,320","10,020"
,8-Jun,"8,94,375",35,"3,01,390","2,94,045","1,53,440","82,665","27,970","30,720","4,110"
 ,      9+      ,"2,38,550",10,"47,035","67,925","47,430","35,220","15,100","24,600","1,230"
Owned ,,,,,,,,,,
,Total,"19,34,160",110,"7,57,190","5,82,180","2,79,050","1,64,490","62,420","77,720","11,000"
,2-Jan,"1,98,585",15,"1,11,520","52,605","18,255","8,260","2,675","3,150","2,105"
,5-Mar,"9,66,905",85,"4,17,080","2,91,510","1,31,030","70,270","25,640","25,920","5,370"
,8-Jun,"5,87,530",5,"1,95,385","1,89,550","94,725","57,595","21,265","26,280","2,725"
 ,      9+      ,"1,81,140",5,"33,205","48,515","35,040","28,365","12,840","22,370",800
Rented ,,,,,,,,,,
,Total,"13,70,240",85,"5,56,500","4,38,040","2,38,265","91,455","24,550","14,810","6,535"
,2-Jan,"1,93,055",15,"1,09,510","51,825","20,810","6,905","1,830",990,"1,170"
,5-Mar,"8,31,340",35,"3,35,175","2,67,150","1,48,925","54,150","14,215","7,640","4,050"
,8-Jun,"2,91,865",30,"99,210","1,00,655","56,595","23,810","6,355","4,135","1,075"
 ,      9+      ,"53,980",5,"12,605","18,410","11,935","6,590","2,150","2,045",240
Others ,,,,,,,,,,
,Total,"63,505",5,"32,170","15,045","8,040","3,890","1,440","1,575","1,340"
,2-Jan,"10,385",0,"6,410","2,155",830,310,115,325,240
,5-Mar,"34,710",5,"17,740","8,050","4,635","2,055",865,760,600
,8-Jun,"14,980",0,"6,795","3,840","2,120","1,260",350,305,310
,      9+      ,"3,430",0,"1,225","1,000",455,265,110,185,190
ARUNACHAL PRADESH,,,,,,,,,,
TOTAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"1,73,641",578,"81,926","57,171","21,862","6,003","2,048","1,777","2,276"
,2-Jan,"35,489",85,"19,200","11,603","3,324",522,165,144,446
,5-Mar,"74,214",230,"34,804","25,623","9,361","2,075",542,416,"1,163"
,8-Jun,"46,607",183,"20,824","15,409","6,541","2,023",685,471,471
 ,      9+      ,"17,331",80,"7,098","4,536","2,636","1,383",656,746,196
Owned ,,,,,,,,,,
,Total,"1,10,560",504,"59,739","30,677","11,149","4,153","1,420","1,217","1,701"
,2-Jan,"14,937",48,"9,917","3,847",669,155,32,49,220
,5-Mar,"45,455",214,"25,894","13,014","3,857","1,139",249,179,909
,8-Jun,"35,341",168,"17,645","10,180","4,408","1,629",549,347,415
 ,      9+      ,"14,827",74,"6,283","3,636","2,215","1,230",590,642,157
Rented ,,,,,,,,,,
,Total,"48,184",46,"15,986","20,457","8,816","1,554",547,486,292
,2-Jan,"15,658",23,"6,875","6,021","2,172",305,106,76,80
,5-Mar,"22,282",11,"6,428","9,761","4,618",812,267,212,173
,8-Jun,"8,484",7,"2,192","4,007","1,706",321,116,108,27
 ,      9+      ,"1,760",5,491,668,320,116,58,90,12
Others ,,,,,,,,,,
,Total,"14,897",28,"6,201","6,037","1,897",296,81,74,283
,2-Jan,"4,894",14,"2,408","1,735",483,62,27,19,146
