" H-3 HOUSEHOLDS BY TENURE STATUS, SIZE AND NUMBER OF ROOMS OCCUPIED",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Number of households occupying
,,,,,,,,,,
,House-hold size,Total number of households,No excl-usive room, 1 Room,2  Rooms,3  Rooms,4  Rooms,5  Rooms,6 Rooms         and above,Un-specified Room
,1,2,3,4,5,6,7,8,9,10
 ORISSA,,,,,,,,,,
TOTAL,,,,,,,,,,
Total ,,,,,,,,,,
,6-8,"82,275",15,"20,445","38,235","13,675","6,225","1,885","1,590",205
 ,      9+      ,"14,360",0,"2,705","6,265","2,700","1,500",550,580,60
Others ,,,,,,,,,,
,Total,"34,545",35,"14,415","10,345","4,750","1,935","1,285","1,600",180
,1-2,"7,245",15,"4,195","1,770",605,230,125,225,80
,3-5,"16,810",15,"7,020","5,150","2,410",920,625,600,70
,6-8,"8,650",5,"2,730","2,860","1,450",625,415,545,20
,      9+      ,"1,840",0,470,565,285,160,120,230,10
 PUNJAB,,,,,,,,,,
TOTAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"33,81,195",160,"8,68,630","10,92,535","6,57,750","3,90,590","1,79,485","1,83,095","8,950"
,1-2,"3,11,155",25,"1,56,105","88,890","34,505","16,830","6,730","6,610","1,460"
,3-5,"14,08,720",55,"4,40,840","4,88,795","2,53,695","1,26,850","52,320","41,735","4,430"
,6-8,"11,80,475",45,"2,39,850","4,10,145","2,57,825","1,47,910","64,305","58,275","2,120"
 ,      9+      ,"4,80,845",35,"31,835","1,04,705","1,11,725","99,000","56,130","76,475",940
Owned ,,,,,,,,,,
,Total,"30,42,890",90,"7,00,050","9,89,700","6,19,385","3,75,825","1,74,160","1,77,015","6,665"
,1-2,"2,38,090",10,"1,07,430","72,630","29,830","15,015","6,145","5,825","1,205"
,3-5,"12,25,400",30,"3,52,510","4,30,815","2,31,245","1,19,265","49,580","39,240","2,715"
,6-8,"11,13,780",25,"2,11,955","3,86,170","2,49,280","1,44,305","63,145","56,970","1,930"
 ,      9+      ,"4,65,620",25,"28,155","1,00,085","1,09,030","97,240","55,290","74,980",815
Rented ,,,,,,,,,,
,Total,"2,91,255",45,"1,47,110","89,105","32,815","12,205","4,305","3,705","1,965"
,1-2,"61,390",5,"42,010","13,390","3,655","1,315",425,400,190
,3-5,"1,61,310",20,"78,510","51,240","19,725","6,475","2,275","1,470","1,595"
,6-8,"56,080",15,"23,660","20,520","7,180","2,940",865,790,110
 ,      9+      ,"12,475",5,"2,930","3,955","2,255","1,475",740,"1,045",70
Others ,,,,,,,,,,
,Total,"47,050",25,"21,470","13,730","5,550","2,560","1,020","2,375",320
,1-2,"11,675",10,"6,665","2,870","1,020",500,160,385,65
,3-5,"22,010",5,"9,820","6,740","2,725","1,110",465,"1,025",120
,6-8,"10,615",5,"4,235","3,455","1,365",665,295,515,80
 ANDHRA PRADESH                                              ,      9+      ,"2,750",5,750,665,440,285,100,450,55
RURAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"23,57,725",75,"5,82,595","7,74,495","4,66,490","2,67,790","1,28,050","1,32,225","6,005"
,1-2,"2,03,625",15,"97,385","60,830","23,955","11,230","4,630","4,505","1,075"
,3-5,"9,36,675",20,"2,90,715","3,31,610","1,68,620","80,305","34,460","28,510","2,435"
,6-8,"8,64,500",25,"1,72,430","3,04,470","1,90,750","1,04,830","47,350","42,940","1,705"
 ,      9+      ,"3,52,925",15,"22,065","77,585","83,165","71,425","41,610","56,270",790
Owned ,,,,,,,,,,
,Total,"22,73,510",40,"5,46,025","7,48,555","4,54,260","2,63,420","1,26,250","1,29,515","5,445"
,1-2,"1,80,830",5,"84,380","55,075","21,650","10,385","4,340","4,075",920
,3-5,"8,95,660",15,"2,73,765","3,18,665","1,61,970","78,170","33,525","27,325","2,225"
,6-8,"8,47,885",10,"1,66,660","2,98,420","1,88,080","1,03,840","46,955","42,330","1,590"
 ,      9+      ,"3,49,135",10,"21,220","76,395","82,560","71,025","41,430","55,785",710
Rented ,,,,,,,,,,
,Total,"59,500",20,"26,440","18,570","9,150","2,810","1,085","1,075",350
,1-2,"16,195",0,"9,755","3,950","1,585",505,145,160,95
,3-5,"30,280",5,"12,520","9,660","5,340","1,510",615,475,155
,6-8,"10,850",15,"3,695","4,170","1,905",580,205,220,60
 ,      9+      ,"2,175",0,470,790,320,215,120,220,40
Others ,,,,,,,,,,
,Total,"24,715",15,"10,130","7,370","3,080","1,560",715,"1,635",210
,1-2,"6,600",10,"3,250","1,805",720,340,145,270,60
,3-5,"10,735",0,"4,430","3,285","1,310",625,320,710,55
,6-8,"5,765",0,"2,075","1,880",765,410,190,390,55
 ANDHRA PRADESH                                              ,      9+      ,"1,615",5,375,400,285,185,60,265,40
URBAN,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"10,23,470",85,"2,86,035","3,18,040","1,91,260","1,22,800","51,435","50,870","2,945"
,1-2,"1,07,530",10,"58,720","28,060","10,550","5,600","2,100","2,105",385
,3-5,"4,72,045",35,"1,50,125","1,57,185","85,075","46,545","17,860","13,225","1,995"
,6-8,"3,15,975",20,"67,420","1,05,675","67,075","43,080","16,955","15,335",415
 ,      9+      ,"1,27,920",20,"9,770","27,120","28,560","27,575","14,520","20,205",150
Owned ,,,,,,,,,,
,Total,"7,69,380",50,"1,54,025","2,41,145","1,65,125","1,12,405","47,910","47,500","1,220"
,1-2,"57,260",5,"23,050","17,555","8,180","4,630","1,805","1,750",285
,3-5,"3,29,740",15,"78,745","1,12,150","69,275","41,095","16,055","11,915",490
,6-8,"2,65,895",15,"45,295","87,750","61,200","40,465","16,190","14,640",340
 ,      9+      ,"1,16,485",15,"6,935","23,690","26,470","26,215","13,860","19,195",105
Rented ,,,,,,,,,,
,Total,"2,31,755",25,"1,20,670","70,535","23,665","9,395","3,220","2,630","1,615"
,1-2,"45,195",5,"32,255","9,440","2,070",810,280,240,95
,3-5,"1,31,030",15,"65,990","41,580","14,385","4,965","1,660",995,"1,440"
,6-8,"45,230",0,"19,965","16,350","5,275","2,360",660,570,50
 ,      9+      ,"10,300",5,"2,460","3,165","1,935","1,260",620,825,30
Others ,,,,,,,,,,
,Total,"22,335",10,"11,340","6,360","2,470","1,000",305,740,110
,1-2,"5,075",0,"3,415","1,065",300,160,15,115,5
,3-5,"11,275",5,"5,390","3,455","1,415",485,145,315,65
,6-8,"4,850",5,"2,160","1,575",600,255,105,125,25
,      9+      ,"1,135",0,375,265,155,100,40,185,15
 RAJASTHAN,,,,,,,,,,
TOTAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"73,75,460","7,270","24,92,955","22,54,325","11,28,700","6,58,570","3,27,545","4,95,620","10,475"
,1-2,"8,01,070",855,"4,52,155","2,10,865","68,295","29,980","12,395","24,595","1,930"
,3-5,"27,86,015","3,080","11,41,935","9,09,465","3,70,800","1,78,160","75,820","1,02,785","3,970"
,6-8,"25,33,395","2,405","7,19,470","8,33,065","4,45,675","2,52,745","1,19,405","1,57,485","3,145"
 ,      9+      ,"12,54,980",930,"1,79,395","3,00,930","2,43,930","1,97,685","1,19,925","2,10,755","1,430"
Owned ,,,,,,,,,,
,Total,"67,05,330","3,335","21,90,440","20,51,545","10,56,270","6,32,340","3,16,875","4,45,225","9,300"
,1-2,"6,16,185",475,"3,31,695","1,71,265","56,600","26,360","10,915","17,445","1,430"
,3-5,"24,80,670","1,375","10,11,495","8,08,625","3,34,840","1,66,025","71,360","83,355","3,595"
,6-8,"23,90,285","1,010","6,75,025","7,81,475","4,26,445","2,45,395","1,16,450","1,41,555","2,930"
 ,      9+      ,"12,18,190",475,"1,72,225","2,90,180","2,38,385","1,94,560","1,18,150","2,02,870","1,345"
Rented ,,,,,,,,,,
,Total,"5,73,785","2,235","2,69,885","1,79,820","60,610","22,425","8,890","29,010",910
,1-2,"1,56,875",240,"1,06,960","32,835","8,820","2,620","1,110","3,925",365
,3-5,"2,68,380",995,"1,17,740","91,495","31,450","10,900","3,880","11,615",305
,6-8,"1,20,240",760,"39,070","46,200","16,050","6,430","2,485","9,065",180
 ,      9+      ,"28,290",240,"6,115","9,290","4,290","2,475","1,415","4,405",60
Others ,,,,,,,,,,
,Total,"96,345","1,700","32,630","22,960","11,820","3,805","1,780","21,385",265
,1-2,"28,010",140,"13,500","6,765","2,875","1,000",370,"3,225",135
,3-5,"36,965",710,"12,700","9,345","4,510","1,235",580,"7,815",70
,6-8,"22,870",635,"5,375","5,390","3,180",920,470,"6,865",35
 ANDHRA PRADESH                                              ,      9+      ,"8,500",215,"1,055","1,460","1,255",650,360,"3,480",25
RURAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"56,63,010","3,755","19,67,360","17,21,390","8,55,425","4,85,750","2,44,495","3,76,015","8,820"
,1-2,"5,63,940",445,"3,14,115","1,51,435","49,925","20,895","8,555","17,150","1,420"
,3-5,"21,03,850","1,480","9,03,705","6,75,730","2,66,850","1,23,755","53,335","75,525","3,470"
,6-8,"19,98,880","1,285","5,97,420","6,52,785","3,44,910","1,89,070","89,920","1,20,825","2,665"
 ,      9+      ,"9,96,340",545,"1,52,120","2,41,440","1,93,740","1,52,030","92,685","1,62,515","1,265"
Owned ,,,,,,,,,,
,Total,"54,44,405","2,095","18,78,080","16,62,700","8,33,485","4,77,440","2,40,805","3,41,385","8,415"
,1-2,"4,93,965",240,"2,74,050","1,35,315","43,980","18,855","7,755","12,550","1,220"
,3-5,"20,16,260",810,"8,69,280","6,50,180","2,57,740","1,20,580","52,005","62,325","3,340"
,6-8,"19,51,790",680,"5,84,710","6,38,845","3,39,660","1,86,980","89,000","1,09,300","2,615"
 ,      9+      ,"9,82,390",365,"1,50,040","2,38,360","1,92,105","1,51,025","92,045","1,57,210","1,240"
Rented ,,,,,,,,,,
,Total,"1,55,830",745,"69,205","44,830","14,045","5,795","2,580","18,395",235
,1-2,"51,250",100,"31,720","11,665","3,620","1,235",530,"2,270",110
,3-5,"64,830",315,"26,725","20,330","6,560","2,455",995,"7,365",85
,6-8,"31,690",265,"9,345","10,670","3,135","1,515",640,"6,090",30
 ,      9+      ,"8,060",65,"1,415","2,165",730,590,415,"2,670",10
Others ,,,,,,,,,,
,Total,"62,775",915,"20,075","13,860","7,895","2,515","1,110","16,235",170
,1-2,"18,725",105,"8,345","4,455","2,325",805,270,"2,330",90
,3-5,"22,760",355,"7,700","5,220","2,550",720,335,"5,835",45
,6-8,"15,400",340,"3,365","3,270","2,115",575,280,"5,435",20
 ANDHRA PRADESH                                              ,      9+      ,"5,890",115,665,915,905,415,225,"2,635",15
URBAN,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"17,12,450","3,515","5,25,595","5,32,935","2,73,275","1,72,820","83,050","1,19,605","1,655"
,1-2,"2,37,130",410,"1,38,040","59,430","18,370","9,085","3,840","7,445",510
,3-5,"6,82,165","1,600","2,38,230","2,33,735","1,03,950","54,405","22,485","27,260",500
,6-8,"5,34,515","1,120","1,22,050","1,80,280","1,00,765","63,675","29,485","36,660",480
 ,      9+      ,"2,58,640",385,"27,275","59,490","50,190","45,655","27,240","48,240",165
Owned ,,,,,,,,,,
,Total,"12,60,925","1,240","3,12,360","3,88,845","2,22,785","1,54,900","76,070","1,03,840",885
,1-2,"1,22,220",235,"57,645","35,950","12,620","7,505","3,160","4,895",210
,3-5,"4,64,410",565,"1,42,215","1,58,445","77,100","45,445","19,355","21,030",255
,6-8,"4,38,495",330,"90,315","1,42,630","86,785","58,415","27,450","32,255",315
 ,      9+      ,"2,35,800",110,"22,185","51,820","46,280","43,535","26,105","45,660",105
Rented ,,,,,,,,,,
,Total,"4,17,955","1,490","2,00,680","1,34,990","46,565","16,630","6,310","10,615",675
,1-2,"1,05,625",140,"75,240","21,170","5,200","1,385",580,"1,655",255
,3-5,"2,03,550",680,"91,015","71,165","24,890","8,445","2,885","4,250",220
,6-8,"88,550",495,"29,725","35,530","12,915","4,915","1,845","2,975",150
 ,      9+      ,"20,230",175,"4,700","7,125","3,560","1,885","1,000","1,735",50
Others ,,,,,,,,,,
,Total,"33,570",785,"12,555","9,100","3,925","1,290",670,"5,150",95
,1-2,"9,285",35,"5,155","2,310",550,195,100,895,45
,3-5,"14,205",355,"5,000","4,125","1,960",515,245,"1,980",25
,6-8,"7,470",295,"2,010","2,120","1,065",345,190,"1,430",15
,      9+      ,"2,610",100,390,545,350,235,135,845,10
 SIKKIM,,,,,,,,,,
TOTAL,,,,,,,,,,
Total ,,,,,,,,,,
,Total,"77,797",1,"27,404","25,506","11,070","6,833","3,090","3,531",362
,1-2,"11,989",0,"6,497","3,750",910,435,146,161,90
,3-5,"31,770",0,"12,520","11,078","4,147","2,246",837,803,139
,6-8,"24,117",0,"6,664","7,989","4,180","2,627","1,284","1,283",90
 ,      9+      ,"9,921",1,"1,723","2,689","1,833","1,525",823,"1,284",43
Owned ,,,,,,,,,,
,Total,"52,582",1,"16,117","16,682","8,180","5,504","2,648","3,145",305
,1-2,"5,654",0,"2,847","1,864",457,246,84,92,64
,3-5,"19,908",0,"7,256","6,768","2,780","1,655",666,665,118
,6-8,"18,589",0,"4,682","5,902","3,364","2,248","1,131","1,178",84
 ,      9+      ,"8,431",1,"1,332","2,148","1,579","1,355",767,"1,210",39
Rented ,,,,,,,,,,
